label,message
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 101. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager2@company.com before 5 PM.
spam,Congratulations! You have won $300. Email prize3@offer.com now!!! Call 18000003.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 104. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager5@company.com before 5 PM.
spam,Congratulations! You have won $600. Email prize6@offer.com now!!! Call 18000006.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 107. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager8@company.com before 5 PM.
spam,Congratulations! You have won $900. Email prize9@offer.com now!!! Call 18000009.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 110. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager11@company.com before 5 PM.
spam,Congratulations! You have won $1200. Email prize12@offer.com now!!! Call 18000012.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 113. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager14@company.com before 5 PM.
spam,Congratulations! You have won $1500. Email prize15@offer.com now!!! Call 18000015.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 116. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager17@company.com before 5 PM.
spam,Congratulations! You have won $1800. Email prize18@offer.com now!!! Call 18000018.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 119. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager20@company.com before 5 PM.
spam,Congratulations! You have won $2100. Email prize21@offer.com now!!! Call 18000021.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 122. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager23@company.com before 5 PM.
spam,Congratulations! You have won $2400. Email prize24@offer.com now!!! Call 18000024.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 125. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager26@company.com before 5 PM.
spam,Congratulations! You have won $2700. Email prize27@offer.com now!!! Call 18000027.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 128. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager29@company.com before 5 PM.
spam,Congratulations! You have won $3000. Email prize30@offer.com now!!! Call 18000030.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 131. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager32@company.com before 5 PM.
spam,Congratulations! You have won $3300. Email prize33@offer.com now!!! Call 18000033.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 134. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager35@company.com before 5 PM.
spam,Congratulations! You have won $3600. Email prize36@offer.com now!!! Call 18000036.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 137. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager38@company.com before 5 PM.
spam,Congratulations! You have won $3900. Email prize39@offer.com now!!! Call 18000039.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 140. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager41@company.com before 5 PM.
spam,Congratulations! You have won $4200. Email prize42@offer.com now!!! Call 18000042.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 143. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager44@company.com before 5 PM.
spam,Congratulations! You have won $4500. Email prize45@offer.com now!!! Call 18000045.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 146. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager47@company.com before 5 PM.
spam,Congratulations! You have won $4800. Email prize48@offer.com now!!! Call 18000048.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 149. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager50@company.com before 5 PM.
spam,Congratulations! You have won $5100. Email prize51@offer.com now!!! Call 18000051.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 152. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager53@company.com before 5 PM.
spam,Congratulations! You have won $5400. Email prize54@offer.com now!!! Call 18000054.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 155. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager56@company.com before 5 PM.
spam,Congratulations! You have won $5700. Email prize57@offer.com now!!! Call 18000057.
ham,"Hi John, please attend the NLP class at 10:30 AM on Room 158. Thanks!"
ham,Can we meet after lunch at 2 PM? Send the report to manager59@company.com before 5 PM.
spam,Congratulations! You have won $6000. Email prize60@offer.com now!!! Call 18000060.
